id,name,description,category,image_url,location
thriftstore-sketch-001,Forest Explorer,Detailed pencil sketch of a figure walking through tall trees with sunlight filtering through,Landscape,https://picsum.photos/seed/sketch-forest/800/600,Thrift Store Uptown
thriftstore-sketch-002,Abstract Dreams,Colorful mixed media piece with swirling patterns and unexpected shapes,Abstract,https://picsum.photos/seed/sketch-abstract/800/600,Thrift Store Uptown
park-bench-001,Lost in Thought,Simple charcoal portrait of a person looking peacefully into the distance,Portrait,https://picsum.photos/seed/sketch-portrait/800/600,Park Bench - Riverside
street-corner-001,Cosmic Cat,Whimsical ink drawing of a cat with stars and moons around its head,Character Design,https://picsum.photos/seed/sketch-cat/800/600,Street Corner - Oak & 5th
cafe-wall-001,Coffee Shop Moment,Quick watercolor sketch capturing the cozy feeling of a busy morning cafe,Moment,https://picsum.photos/seed/sketch-cafe/800/600,Coffee Shop Wall
bookstore-sketch-001,Reading Dreams,Detailed illustration of stacked books forming a magical doorway,Illustration,https://picsum.photos/seed/sketch-books/800/600,Bookstore Zine Section
park-path-001,Urban Garden,Colored pencil drawing of wildflowers growing between city blocks,Nature,https://picsum.photos/seed/sketch-flowers/800/600,Park Path
museum-step-001,Geometric Soul,Bold black and white geometric design exploring perspective and shadows,Geometric,https://picsum.photos/seed/sketch-geo/800/600,Museum Steps
street-art-001,Night Sky Dreamer,Sketch of a person reaching toward an imagined starry night,Fantasy,https://picsum.photos/seed/sketch-night/800/600,Alley Wall - Westside
thriftstore-sketch-003,Vintage Patterns,Ornate decorative drawing inspired by antique designs and textures,Pattern,https://picsum.photos/seed/sketch-pattern/800/600,Thrift Store Uptown
